ID	Nome_Da_Imagem	Score_Com_Virgula
1	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/HLAG5/20_39/20_39_HLAG5_G_5_10X_1.tiff	0,1112
2	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/HLAG5/20_39/20_39_HLAG5_G_5_10X_2.tiff	0,8367
3	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/HLAG5/20_52/20_52_HLAG5_G_5_10X_1.tiff	0,0801
4	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/HLAG5/20_52/20_52_HLAG5_G_5_10X_2.tiff	0,0679
5	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/HLAG5/20_38/20_38_HLAG5_G_5_10X_1.tiff	0,0794
6	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/HLAG5/20_38/20_38_HLAG5_G_5_40X_1.tiff	2,0919
7	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/HLAG5/20_38/20_38_HLAG5_G_5_10X_2.tiff	0,0335
8	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/HLAG5/20_48/20_48_HLAG5_G_5_10X_1.tiff	3,1806
9	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/HLAG5/20_34/20_34_HLAG5_G_5_10X_2.tiff	1,5848
10	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/HLAG5/20_34/20_34_HLAG5_G_5_40X_1.tiff	2,5639
11	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/HLAG5/20_34/20_34_HLAG5_G_5_10X_1.tiff	2,7766
12	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/HLAG5/20_18/20_18_HLAG5_G_5_10X_1.tiff	0,0637
13	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/CTLA4/20_06/20_06_CTLA4_40X_1.tiff	6,7858
14	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/CTLA4/20_06/20_06_CTLA4_10X_1.tiff	4,0022
15	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/CTLA4/20_06/20_06_CTLA4_40X_2.tiff	15,4476
16	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/CTLA4/20_06/20_06_CTLA4_40X_4.tiff	6,7021
17	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/CD28/20_47/20_47_CD28_40X_3.tiff	8,9407
18	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/CD28/20_47/20_47_CD28_40X_2.tiff	9,3532
19	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/CD28/20_47/20_47_CD28_40X_1.tiff	6,1144
20	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/CD28/20_08_CD28/20_08_CD28_40X_4.tiff	18,3813
21	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/CD28/20_08_CD28/20_08_CD28_40X_5.tiff	17,1839
22	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/CD28/20_08_CD28/20_08_CD28_40X_3.tiff	25,32
23	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/CD28/20_08_CD28/20_08_CD28_10X_1.tiff	15,5182
24	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/CD28/20_08_CD28/20_08_CD28_40X_1.tiff	33,3796
25	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/PD1/20_23/20_23_PD1_40X_1.tiff	10,6501
26	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/PD1/20_23/20_23_PD1_10X_1.tiff	4,8117
27	DAB_Grupo_Controle/GRUPO_CONTROLE_PE_19_12_2024/PD1/20_23/20_23_PD1_40X_3.tiff	4,5745
